b'Beaches Wellness Centre',"b'\n2130A Queen St E, Toronto, ON M4E 1E3'",b'647-765-6899\n',b'https://www.yellowpages.ca/javascript:void(0);'
b'Beaches Wellness Centre',"b'\n2277 Queen St E, Toronto, ON M4E 1G5'",b'416-923-6661\n',b'https://www.yellowpages.ca/None'
b'Infinity Health Centre',"b'\n39 Lower Simcoe St, Toronto, ON M5J 3A6'",b'416-698-7070\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Yorkville Massage Therapy',"b'\n130 Cumberland St, Toronto, ON M5R 1A6'",b'416-698-7070\n',b'https://www.yellowpages.ca//merchant/directions/6756969/?what=massage&where=Toronto+ON&useContext=true'
b'Scarborough Rouge Physiotherapy',"b'\n4830 Sheppard Ave E, Toronto, ON M1S 3V6'",b'416-504-0628\n',b'https://www.yellowpages.ca//gourl/db11a9693150af4edef1ae8c4a99ce3faae5e749?redirect=http%3A%2F%2Fwww.knowyourbodybestmassagetherapy.com%2F'
b'Hawaii Health Spa',"b'\n3110 Kingston Rd, Scarborough, ON M1M 1P2'",b'416-927-1234\n',b'https://www.yellowpages.ca/None'
b'Massage Addict Etobicoke Lawn',"b'\n8 Park Lawn Rd, Etobicoke, ON M8V 0E8'",b'416-291-8998\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'KH Holistic Health',"b'\n31 Cannon Rd, Etobicoke, ON M8Y 1R8'",b'416-261-8088\n',b'https://www.yellowpages.ca//merchant/directions/7742885/?what=massage&where=Toronto+ON&useContext=true'
b'Systems 11 Massage Therapy',"b'\n122-1234 Kingston Rd, Scarborough, ON M1N 1P3'",b'416-252-9889\n',b'https://www.yellowpages.ca//gourl/68849592e02ee2ca09b38d27417c9346b57a9780?redirect=http%3A%2F%2Fwww.rehabclinic.ca%2F'
b'Serenity Massage Therapy',"b'\n1-1443 Kingston Rd, Scarborough, ON M1N 1R4'",b'416-253-6162\n',b'https://www.yellowpages.ca/None'
b'Seamone Heather RMT',"b'\n10 Allen Ave, Etobicoke, ON M8V 1R8'",b'416-846-5042\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Natureology Health Centre',"b'\n661 The Queensway, Etobicoke, ON M8Y 1K8'",b'647-556-1275\n',b'https://www.yellowpages.ca//merchant/directions/7213460/?what=massage&where=Toronto+ON&useContext=true'
b'Sun Silk Hair Design',"b'\n49 Cataraqui Cres, Scarborough, ON M1L 1N6'",b'647-299-4511\n',b'https://www.yellowpages.ca//gourl/6e3ce5226c368fd9d98f00108db67a34a3ef1197?redirect=http%3A%2F%2Fwww.roncesvalleschiropracticandmassage.ca%2F'
b'J Lin Massage & Beauty Spa',"b'\n677 The Queensway, Etobicoke, ON M8Y 1K8'",b'647-351-8839\n',b'https://www.yellowpages.ca/None'
b'Creative Image Massage Therapy',"b'\n717 The Queensway, Etobicoke, ON M8Y 1L4'",b'416-690-4440\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Kingsway Therapeutic Massage Centre',"b'\n49 Meadowvale Dr, Etobicoke, ON M8Y 2P2'",b'416-253-6113\n',b'https://www.yellowpages.ca//merchant/directions/100480115/?what=massage&where=Toronto+ON&useContext=true'
"b'Maria Garcia, RMT'","b'\n781 The Queensway, Etobicoke, ON M8Z 6A8'",b'647-439-8292\n',b'https://www.yellowpages.ca//gourl/ed7b9b628f24cb3a07c265c17d0d70d3eae63201?redirect=http%3A%2F%2Fwww.westtorontophysio.pthealth.ca%2F'
Name,address,phone,website
b'Hand & Stone Spa',"b'\n3008 Bloor St W, Etobicoke, ON M8X 1C2'",b'416-551-8028\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Hair Salon Massage Spa',"b'\n290 Wilson Ave, North York, ON M3H 1S8'",b'647-345-5508\n',b'https://www.yellowpages.ca//merchant/directions/100559463/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Spectra Hair Design & Spa',"b'\n2821 Lake Shore Blvd W, Etobicoke, ON M8V 1H6'",b'416-251-3979\n',b'https://www.yellowpages.ca/None'
b'Superior Spa & Wellness Centre',"b'\n156 Van Dusen Blvd, Etobicoke, ON M8Z 3H1'",b'416-551-1266\n',b'https://www.yellowpages.ca/javascript:void(0)'
"b'N3D Nails, Health & Spa'","b'\n1116 Queensway, Etobicoke, ON M8Z 1P7'",b'416-252-5999\n',b'https://www.yellowpages.ca//merchant/directions/101193944/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Esther Beauty',"b'\n4691 Yonge St, North York, ON M2N 5M3'",b'416-590-2889\n',b'https://www.yellowpages.ca//gourl/b73a94b7dca4996b275e8d1096275c1c471d5217?redirect=http%3A%2F%2Fwww.facebook.com%2F2013062468948540'
b'Mobile Massage Therapists',"b'\n4841 Yonge St, North York, ON M2N 5X2'",b'416-562-4911\n',b'https://www.yellowpages.ca/None'
b'Spa Talia',"b'\n10 Jopling Ave S, Etobicoke, ON M9B 3P5'",b'647-632-3090\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Double Tree Massage SPA',"b'\n5 Spring Garden Ave, North York, ON M2N 3G1'",b'416-800-7675\n',b'https://www.yellowpages.ca//merchant/directions/7721330/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Hand & Stone Massage & Facial Spa',"b'\n3-27 Rean Dr, North York, ON M2K 0A6'",b'647-748-4263\n',b'https://www.yellowpages.ca/None'
b'Oriental Spa',"b'\n2167 Lawrence Ave E, Scarborough, ON M1P 2P5'",b'647-350-3232\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Spa Times',"b'\n2827 Kingston Rd, Scarborough, ON M1M 1N2'",b'416-269-9888\n',b'https://www.yellowpages.ca//merchant/directions/100290290/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Green Apple Spa',"b'\n1515 Birchmount Rd, Scarborough, ON M1P 2G7'",b'647-430-5778\n',b'https://www.yellowpages.ca//gourl/262ddbdc2251ea37683a780ffe6cb63f4f6111b6?redirect=http%3A%2F%2Fwww.spamassagewellness.ca%2F'
b'Spa 7 Holistic Centre',"b'\n2879 Kingston Rd, Scarborough, ON M1M 1N3'",b'416-269-0077\n',b'https://www.yellowpages.ca/javascript:void(0);'
b'Secrets Massage Spa',"b'\n370 Browns Line, Etobicoke, ON M8W 3T7'",b'416-800-1742\n',b'https://www.yellowpages.ca/None'
b'Cedarhouse Spa Inc.',"b'\n2225 Dundas St E, Mississauga, ON L4X 2X2'",b'905-602-4522\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'N D Massage & Spa',"b'\n799 Brimley Rd, Scarborough, ON M1J 1C9'",b'416-264-5908\n',b'https://www.yellowpages.ca//merchant/directions/101248478/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Placidity Spa',"b'\n676 Finch Ave E, North York, ON M2K 2E6'",b'647-352-8225\n',b'https://www.yellowpages.ca/javascript:void(0);'
b'Spa Olive',"b'\n21 Drewry Ave, North York, ON M2M 1C9'",b'416-225-0305\n',b'https://www.yellowpages.ca/None'
b'Hue Clinic',"b'\n201-6126 Yonge St, North York, ON M2M 3W7'",b'416-229-0007\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Goldberg Center For Cosmetic Surgery',"b'\n2235 Kennedy Rd, Scarborough, ON M1T 3G8'",b'416-754-9444\n',b'https://www.yellowpages.ca//merchant/directions/6204493/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Laser Eye Care Clinic',"b'\n2235 Kennedy Rd, Scarborough, ON M1T 3G8'",b'416-754-9444\n',b'https://www.yellowpages.ca//gourl/2037433857df238bc9960bc2773d0e73defc3401?redirect=http%3A%2F%2Fwww.facebook.com%2Fpages%2FEsther-Oasis-Spa%2F133933903426332'
b'Hawaii Spa',"b'\n1 Reidmount Ave, Scarborough, ON M1S 4V3'",b'416-335-1688\n',b'https://www.yellowpages.ca/None'
b'Massage Addict Toronto - Dufferin and Steeles',"b'\n81 Gerry Fitzgerald Dr, North York, ON M3J 3N4'",b'416-667-0009\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Applewood Massage',"b'\n23-1077 North Service Rd, Mississauga, ON L4Y 1A6'",b'905-232-2211\n',b'https://www.yellowpages.ca//merchant/directions/7138701/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'647 Massage Spa',"b'\n20 Stonehill Crt, Scarborough, ON M1W 2Y6'",b'416-496-8750\n',b'https://www.yellowpages.ca/None'
b'Ca Wellness Centre',"b'\n4271 Sheppard Ave E, Scarborough, ON M1S 4G4'",b'647-726-1564\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Starlight Spa',"b'\n2365 Finch Ave W, North York, ON M9M 2W8'",b'416-746-7433\n',b'https://www.yellowpages.ca//merchant/directions/101064361/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Happy Happy Spa',"b'\n3330 Pharmacy Ave, Scarborough, ON M1W 3V8'",b'416-502-8300\n',b'https://www.yellowpages.ca/None'
b'Angel Spa',"b'\n5-3680 Victoria Park Ave, North York, ON M2H 3K1'",b'647-435-1290\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Angkor Nails Salon & Spa',"b'\n4103 Steeles Ave W, North York, ON M3N 1V7'",b'416-635-8258\n',b'https://www.yellowpages.ca//merchant/directions/8125987/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Streams Health And Wholeness Centre Inc',"b'\n300 John St, Thornhill, ON L3T 5W4'",b'905-764-9600\n',b'https://www.yellowpages.ca/None'
b'Sakura Spa',"b'\n3261 Kennedy Rd, Scarborough, ON M1V 2K1'",b'416-332-0555\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Rosewood Spa',"b'\n3261 Kennedy Rd, Scarborough, ON M1V 2K1'",b'416-291-7415\n',b'https://www.yellowpages.ca//merchant/directions/101120984/?what=Spa+and+massage&where=Toronto+ON&useContext=true'
b'Beaute De Spa',"b'\n4300 Steeles Ave E, Markham, ON L3R 0Y5'",b'905-948-8898\n',b'https://www.yellowpages.ca//gourl/65460ade5ff93e336d5afd2eaafd930e1f88003a?redirect=http%3A%2F%2Fhandandstone.ca%2Flocations%2Fbayview-village'
