Scissors Palace,"2732 Bur Oak Ave, Markham, ON L6B 1K5",416-662-3135
"1
Salon Capricci","7 Hwy E, Markham, ON L3R 0J5",289-301-2259
Hair Monet,"96 Timbers Cir, Markham, ON L3S 1E6",905-470-1228
Padda Motors,"9500 Highway 48, Markham, ON L6E 0N6",905-415-3570
Salon 48,"4300 Steeles Ave E, Markham, ON L3R 0Y5",905-554-8931
Jealousy Beauty,"144 Main St, Unionville, ON L3R 2G5",905-604-5884
Lavish Beauty Bar,"3255 Highway 7, Markham, ON L3R 3P9",905-604-4110
Maikey Hair Salon,"30F-4300 Steeles Ave E, Markham, ON L3R 0Y5",905-604-7887
Monsoon Hairdressing Group,"139 Main St, Unionville, ON L3R 2G6",905-604-6778
Artbox Hair Studio,"2925 Bur Oak, Markham, ON L6B 1E6",905-604-5252
Turning Hedz Creations,"4779 Steeles Ave E, Toronto, ON M1V 4S5",905-471-4161
CNY Hair Salon,"3762 14th Ave, Markham, ON L3R 0G7",416-298-2417
Premier Salons International,"8339 Kennedy Rd, Unionville, ON L3R 5T5","905-470-2887

1-800-749-0805"
Vietnam Place Center,"3255 Highway 7, Markham, ON L3R 3P9",905-479-8899
Cachet Hair Design,"8380 Kennedy Rd, Unionville, ON L3R 0W4",905-415-8866
Wave Salon Inc,"8360 Kennedy Rd, Unionville, ON L3R 9W4",905-415-1777
Prowave Hair Salon Hair Salon,"5071 Highway 7, Unionville, ON L3R 1N3",905-513-7778
Hk Hair Design,"4675 Steeles Ave E, Scarborough, ON M1V 0B7",905-475-9757
F&F Hair Salon,"5000 Highway 7 E, Markham, ON L3R 4M9",416-321-3168
Your Space Salons,"3636 Steeles Ave E, Markham, ON L3R 1K9",905-947-8851
Chair Lady Beauty,"3601 HWY-7, Markham, ON L3R 0M3",905-479-4678
Hair Artzy,"105-3603 Hwy 7 E, Markham, ON L3R 8W3",905-480-2828
Beauty Station,"3000 Hwy 7 East (At Woodbine Avenue), Unionville, ON L3X 4X9",905-477-8881
Beauty One,"107 Glenbrook Dr, Markham, ON L6C 2X2",647-887-0132
Hair Treasure,"3255 Highway 7, Markham, ON L3R 3P9",905-944-0239
Beauty Max,"4300 Steeles Avenue East, Markham, ON L3R 0Y5",905-948-8857
Hair Artzy,"105-3603 Hwy 7 E, Markham, ON L3R 8W3",905-477-3394
Beauty Star,"4300 Steeles Avenue East, Markham, ON L3R 0Y5",905-604-5838
Clipindale Salon,"7313 Woodbine Ave, Markham, ON L3R 3V7",905-305-8002
Salon Tera,"The Planing Mill- Main Street Unionville, Unionville, ON L3R 2G6",905-477-8694
Svengali Salon,"141 Main St N, Markham, ON L3P 1Y2",905-471-6662
Alice Spa,"4915 Steeles Ave E, Toronto, ON M1V 4Z3",416-298-0898
Hair Spot,"6220 Main St, Stouffville, ON L4A 2S5",905-640-1099
Beauty Collection,"218-3636 Steeles Ave E, Markham, ON L3R 1K9",905-305-9906
Scissors Palace,"2732 Bur Oak Ave, Markham, ON L6B 1K5",416-662-3135
"1
Salon Capricci","7 Hwy E, Markham, ON L3R 0J5",289-301-2259
Hair Monet,"96 Timbers Cir, Markham, ON L3S 1E6",905-470-1228
Padda Motors,"9500 Highway 48, Markham, ON L6E 0N6",905-415-3570
Salon 48,"4300 Steeles Ave E, Markham, ON L3R 0Y5",905-554-8931
Jealousy Beauty,"144 Main St, Unionville, ON L3R 2G5",905-604-5884
Lavish Beauty Bar,"3255 Highway 7, Markham, ON L3R 3P9",905-604-4110
Maikey Hair Salon,"30F-4300 Steeles Ave E, Markham, ON L3R 0Y5",905-604-7887
Monsoon Hairdressing Group,"139 Main St, Unionville, ON L3R 2G6",905-604-6778
Artbox Hair Studio,"2925 Bur Oak, Markham, ON L6B 1E6",905-604-5252
Turning Hedz Creations,"4779 Steeles Ave E, Toronto, ON M1V 4S5",905-471-4161
CNY Hair Salon,"3762 14th Ave, Markham, ON L3R 0G7",416-298-2417
Premier Salons International,"8339 Kennedy Rd, Unionville, ON L3R 5T5","905-470-2887

1-800-749-0805"
Vietnam Place Center,"3255 Highway 7, Markham, ON L3R 3P9",905-479-8899
Cachet Hair Design,"8380 Kennedy Rd, Unionville, ON L3R 0W4",905-415-8866
Wave Salon Inc,"8360 Kennedy Rd, Unionville, ON L3R 9W4",905-415-1777
Prowave Hair Salon Hair Salon,"5071 Highway 7, Unionville, ON L3R 1N3",905-513-7778
Hk Hair Design,"4675 Steeles Ave E, Scarborough, ON M1V 0B7",905-475-9757
F&F Hair Salon,"5000 Highway 7 E, Markham, ON L3R 4M9",416-321-3168
Your Space Salons,"3636 Steeles Ave E, Markham, ON L3R 1K9",905-947-8851
Chair Lady Beauty,"3601 HWY-7, Markham, ON L3R 0M3",905-479-4678
Verve Hair Design,"3-383 Main St N, Markham, ON L3P 1Z3",905-294-3322
Salon On Seven,"4441 Highway 7, Unionville, ON L3R 1M1",905-477-3646
YMF Hair Salon,"6899 14th, Markham, ON L6B 0S2",905-205-0061
Samfire & Substance,ON L3P 1Y3,905-201-6433
Relaxing Wellness Centre,"4779 Steeles Ave E, Toronto, ON M1V 4S5",416-496-3889
Premier Salons International,"3672 14th Ave, Markham, ON L3R 0G7","905-470-7850

1-800-749-0805"
Ip's Beauty,"4675 Steeles Ave E, Toronto, ON M1V 4S5",416-618-4132
Wac Hair Group,"158 Main St N, Markham, ON L3P 1Y3",905-201-6622
Impressive Hair Design,"10 Fincham Ave, Markham, ON L3P 4C8",905-472-2688
Daisy Hair Salon,"7010 Warden Ave, Markham, ON L3R 5Y3",905-489-2443
New Face Beauty,"2750 14th Ave, Markham, ON L3R 0B6",905-470-0655
Premier Salons International,"3762 14th Ave, Markham, ON L3R 0G7","905-470-0287

1-800-749-0805"
Leslie Beauty Salon,"3255 HWY-7, Markham, ON L3R 3P9",905-479-2928
Skin Management Institute,"80 Acadia Ave, Markham, ON L3R 9V1",905-477-2022
Seawave Hair Design,"38 Buttonfield Rd, Markham, ON L3R 9G8",905-940-5334
Styles Of Creation,"1 Stone Mason Dr, Markham, ON L3P 6X2",905-471-4545
Wonder Hair Studio,"6040 Highway 7, Markham, ON L3P 3A8",905-201-2628
Artistry By Eram,"93 Main St N, Markham, ON L3P 1X7",905-910-1041
Fame International Salon,"5892 Main St, Whitchurch Stouffville, ON L4A 2S8",905-640-2299
Anita Beauty Salon,"398 Ferrier St, Markham, ON L3R 2Z5",905-474-0988
Expo Hair Studio,"101-10 Fincham Ave, Markham, ON L3P 4C8",905-472-7261
Wahl Canada Inc,"165 Riviera Dr, Markham, ON L3R 5J6",905-477-9245
Soho Hair Creations,"8360 Kennedy Rd, Unionville, ON L3R 9W4",905-477-7788
Morph Hair Design,"8390 Kennedy, Unionville, ON L3R 9W5",905-305-1722
Artis Hair Salon,"8360 Kennedy Rd, Unionville, ON L3R 9W4",905-479-0988
Instyle Hair Design,"4779 Steeles Ave E, Toronto, ON M1V 4S5",416-335-6678
Philip Hair Studio,"4300 Steeles Ave E, Markham, ON L3R 0Y5",647-236-2366
The Grecian Place,"5293 Highway 7, Markham, ON L3P 7M7",905-294-1810
Precision Hair Des,"7828 Kennedy Rd, Markham, ON L3R 5P1",905-470-1988
Casa Massimo Salon,"15 Ringwood Dr, Whitchurch-Stouffville, ON L4A 8C1",905-640-2088
Fuji Natural Comfort,"4-5460 Highway 7, Markham, ON L3P 1B7",905-554-4588
Oggi Hair Fashion,"4568 Highway 7, Unionville, ON L3R 1M5",905-940-3285
With Beauty Salon,"10 Unionville Gate, Unionville, ON L3R 0W7",905-475-5522
Big Girl Beauty,"2302-8339 Kennedy Rd, Markham, ON L3R 5T5",905-604-9004
Xianni Beauty Centre,"4675 Steeles Ave E, Toronto, ON M1V 4S5",647-428-7006
Chris Hair Design,"107-7130 Warden Ave, Markham, ON L3R 1S2",905-940-9468
Floyd's Barbershop,"127 Robinson St, Markham, ON L3P 1P2",905-294-5996
Art Of Breathing,"5000 Hwy 7 E, Markham, ON L3R 4M9",647-505-3410
Visage Cosmetics Ltd,"32 South Unionville Av, Unionville, ON L3R 9S6",905-479-7373
Chance Beauty Salon,"77 Cathedral High St, Markham, ON L6C 0P1",905-604-7769
Styles By Sara,"6545 Highway 7, Markham, ON L3P 3B4",289-383-1319
Hair To Date,"8 Pamgrey Rd Offic, Markham, ON L6E 1X5",905-294-1234
Dawn Dennis,"25 Valleywood Dr, Markham, ON L3R 5L9",905-209-7340
Nellie's Hair Emporium,"20-25 Valleywood Dr, Markham, ON L3R 5L9",905-604-4247
Nellie's Hair Emporium,"8-4981 Hwy 7, Unionville, ON L3R 1N1",905-604-5336
Medi Radiant Laser Clinic,"94 Old Kennedy Rd, Markham, ON L3R 1K7",905-604-6361
Conrad's Barber Shop,"4779 Steeles Ave E, Scarborough, ON M1V 4S5",905-475-7787
Lina's Beauty Salon,"13 Wootten Way N, Markham, ON L3P 2Y2",647-825-3856
Mike & Gino Coiffure,"4350 Steeles Ave E, Markham, ON L3R 9V4",905-294-5716
Joe Longs Hair Design,"8360 Kennedy Rd, Unionville, ON L3R 9W4",905-479-3668
K & K Collections,"56-398 Ferrier St, Markham, ON L3R 2Z5",905-470-8648
La Ritz Professional Hair,"2 Hawkridge Ave, Markham, ON L3P 1V6",905-940-3168
Hair Ways Vip Salon,"15 Wootten Way N, Markham, ON L3P 2Y2",905-201-9997
BJG's Hair Den,"2697 Bur Oak Ave, Markham, ON L6B 1K8",905-294-2603
Cornell Cuts For Kids,"4721 Highway 7, Unionville, ON L3R 1M7",905-554-7009
Great Lengths Hair Gallery,"377 Main St N, Markham, ON L3P 1Z3",905-944-1312
Vita Bella Salon Spa,"398 Ferrier St, Markham, ON L3R 2Z5",905-205-2002
Dream Hair And Beauty,"6180 Main St, Stouffville, ON L4A 2S5",905-944-1555
Fame Men's Hairstylist,"920 Denison St, Markham, ON L3R 3K5",905-640-3549
Sona Hair Stylist Salon,"71 Main N, Markham, ON L3P 1X7",905-910-1238
Backstage Hair Design Ltd,"4300 Steeles Ave E, Markham, ON L3R 0Y5",905-294-8392
La Vie Skin Care,"Markham, Unionville, ON L3S 1M1",905-294-9882
Art Inn At Runway,"6328 Main St, Stouffville, ON L4A 1G9",905-940-5529
Woman Of All Seasons,"160 Main St, Unionville, ON L3R 2G9",905-480-9289
Headlines Salon & Spa,"20 Freel Lane, Stouffville, ON L4A 8B9",905-642-0336
Blush Spa & Salon,"4300 Steeles Ave E, Markham, ON L3R 0Y5",905-940-2230
The Alcove Hair Studio,"279 Stouffville, Stouffville, ON",905-591-1840
AC Hair And Nails,"398 Ferrier St, Markham, ON L3R 2Z5",905-948-9881
